PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,Eff,Team
JalenBrunson,35,1,8,15,3,11,10,11,12,40,52.6,87.5,0,1,4,2,0,3,30,NewYorkKnicks
JoshHart,23,8,5,12,3,5,4,7,6,42,44.4,100.0,2,6,1,2,1,2,27,NewYorkKnicks
DonteDiVincenzo,21,3,3,3,5,10,0,0,4,32,30.0,100.0,0,3,2,2,0,1,23,NewYorkKnicks
BojanBogdanovic,13,6,2,3,3,8,0,0,1,22,55.6,0,0,6,1,0,0,3,13,NewYorkKnicks
AlecBurks,7,1,2,6,1,3,0,1,1,14,36.4,75.0,1,0,2,1,0,1,1,NewYorkKnicks
IsaiahHartenstein,6,8,2,5,0,0,2,2,4,27,50.0,50.0,4,4,1,0,1,2,15,NewYorkKnicks
PreciousAchiuwa,4,11,2,6,0,1,0,0,1,34,60.0,0.0,4,7,2,2,2,3,13,NewYorkKnicks
JerichoSims,2,6,1,2,0,0,0,0,2,20,60.0,0,4,2,1,0,0,0,8,NewYorkKnicks
MilesMcBride,2,0,1,1,0,1,0,0,0,10,50.0,0,0,0,0,0,0,1,1,NewYorkKnicks
NewYorkKnicks,113,44,26,53,15,39,16,21,31,240,100.0,0,15,29,14,9,4,16,131,NewYorkKnicks
CadeCunningham,32,5,5,12,5,7,7,8,8,36,52.6,87.5,2,3,5,0,2,1,32,DetroitPistons
QuentinGrimes,14,3,1,3,3,6,3,3,2,24,44.4,100.0,0,3,2,1,3,2,16,DetroitPistons
JadenIvey,14,2,2,6,1,4,7,7,3,24,30.0,100.0,1,1,1,1,0,1,12,DetroitPistons
SimoneFontecchio,12,3,3,4,2,5,0,0,1,33,55.6,0,0,3,2,0,0,1,10,DetroitPistons
JalenDuren,11,16,4,11,0,0,3,4,4,31,36.4,75.0,5,11,0,1,1,2,25,DetroitPistons
MalachiFlynn,8,3,2,4,1,2,1,2,2,12,50.0,50.0,0,3,0,0,0,1,9,DetroitPistons
AusarThompson,7,4,2,2,1,3,0,2,3,36,60.0,0.0,0,4,4,3,0,3,9,DetroitPistons
EvanFournier,7,0,2,2,1,3,0,0,1,20,60.0,0,0,0,2,2,0,3,6,DetroitPistons
JamesWiseman,4,6,2,4,0,0,0,0,1,17,50.0,0,2,4,1,1,0,1,9,DetroitPistons
TosanEvbuomwan,2,0,1,1,0,0,0,0,0,8,100.0,0,0,0,0,0,0,0,2,DetroitPistons
DetroitPistons,111,42,24,49,14,30,21,26,25,240,48.1,0,10,32,17,9,6,15,130,DetroitPistons
