PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,Eff,Team
LamarStevens,17,6,7,8,1,1,0,0,2,23,58.3,50.0,2,4,1,0,1,0,24,MemphisGrizzlies
JarenJacksonJr.,15,4,1,10,1,2,10,13,1,30,35.7,50.0,1,3,3,2,1,1,7,MemphisGrizzlies
LukeKennard,11,2,0,0,2,3,5,5,0,24,60.0,0,0,2,0,1,0,1,13,MemphisGrizzlies
JakeLaRavia,10,5,3,7,1,3,1,2,2,28,36.4,100.0,2,3,0,1,2,2,13,MemphisGrizzlies
SantiagoAldama,7,5,2,3,1,2,0,0,1,20,55.6,0,2,3,2,1,0,2,10,MemphisGrizzlies
DerrickRose,6,2,3,3,0,1,0,0,4,15,40.0,50.0,0,2,2,0,0,0,9,MemphisGrizzlies
VinceWilliamsJr.,6,3,1,3,1,2,1,2,5,25,100.0,0,0,3,4,0,0,3,6,MemphisGrizzlies
GregoryJackson,6,5,1,7,0,6,4,4,0,23,57.1,0,0,5,0,0,0,1,-1,MemphisGrizzlies
ZiaireWilliams,6,2,3,6,0,5,0,0,0,25,100.0,0,0,2,2,1,0,1,-1,MemphisGrizzlies
YutaWatanabe,2,4,1,2,0,1,0,0,1,22,50.0,0,0,4,0,0,0,1,5,MemphisGrizzlies
MattHurt,0,2,0,0,0,0,0,0,0,5,33.3,0,1,1,0,0,0,1,2,MemphisGrizzlies
MemphisGrizzlies,86,40,22,49,7,26,21,26,16,240,0.0,100.0,8,32,15,6,4,13,87,MemphisGrizzlies
DennisSchroder,18,2,4,8,3,4,1,2,5,26,58.3,50.0,0,2,4,0,0,2,15,BrooklynNets
CamThomas,14,3,2,9,3,5,1,2,5,29,35.7,50.0,1,2,0,1,0,1,13,BrooklynNets
DorianFinney-Smith,13,9,5,6,1,4,0,0,4,25,60.0,0,4,5,0,0,1,4,23,BrooklynNets
LonnieWalker,13,6,1,3,3,8,2,2,2,19,36.4,100.0,0,6,0,0,0,0,14,BrooklynNets
CameronJohnson,12,2,3,3,2,6,0,0,3,25,55.6,0,0,2,1,1,0,3,13,BrooklynNets
MikalBridges,11,3,3,3,1,7,2,4,2,31,40.0,50.0,0,3,1,2,0,1,9,BrooklynNets
NicClaxton,10,4,5,5,0,0,0,0,3,21,100.0,0,0,4,1,1,3,4,20,BrooklynNets
Day&#039;RonSharpe,8,8,4,6,0,1,0,0,2,15,57.1,0,3,5,1,0,0,2,14,BrooklynNets
BenSimmons,4,6,2,2,0,0,0,0,3,14,100.0,0,2,4,0,0,0,3,13,BrooklynNets
TrendonWatford,3,1,0,0,1,2,0,0,0,7,50.0,0,0,1,0,0,0,2,3,BrooklynNets
JalenWilson,3,0,0,1,1,2,0,0,0,7,33.3,0,0,0,0,0,0,0,1,BrooklynNets
KeitaBates-Diop,2,0,0,0,0,2,2,2,0,6,0.0,100.0,0,0,0,0,1,0,1,BrooklynNets
DennisSmith,0,2,0,2,0,1,0,2,3,14,0.0,0.0,2,0,0,0,0,2,0,BrooklynNets
BrooklynNets,111,46,29,48,15,42,8,14,32,240,48.9,0,12,34,10,5,5,24,139,BrooklynNets
