PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,Eff,Team
BennedictMathurin,34,9,6,7,5,8,7,9,5,39,68.8,0.0,1,8,2,2,1,4,43,IndianaPacers
PascalSiakam,27,9,8,14,3,8,2,2,6,37,44.4,100.0,3,6,1,0,1,4,31,IndianaPacers
MylesTurner,16,11,3,5,2,3,4,6,1,26,50.0,0,5,6,3,0,2,2,22,IndianaPacers
AndrewNembhard,11,0,4,10,1,4,0,0,1,27,77.8,0,0,0,2,1,0,3,2,IndianaPacers
T.J.McConnell,10,4,5,8,0,0,0,0,4,20,70.0,100.0,1,3,0,1,0,1,16,IndianaPacers
JalenSmith,9,5,3,5,1,2,0,0,2,14,57.1,100.0,3,2,0,0,1,0,14,IndianaPacers
TyreseHaliburton,9,0,1,5,1,6,4,6,7,32,41.7,0,0,0,1,2,0,0,6,IndianaPacers
ObiToppin,4,3,2,3,0,5,0,0,0,19,50.0,50.0,0,3,1,2,0,2,2,IndianaPacers
BenSheppard,2,0,1,1,0,3,0,0,0,17,25.0,0,0,0,0,0,0,2,-1,IndianaPacers
JaraceWalker,0,2,0,0,0,1,0,0,1,5,55.2,0,0,2,0,0,0,1,2,IndianaPacers
DougMcDermott,0,0,0,0,0,2,0,0,0,5,0.0,0,0,0,0,0,0,0,-2,IndianaPacers
IndianaPacers,122,43,33,58,13,42,17,23,27,240,46.0,0,13,30,11,8,5,19,135,IndianaPacers
R.J.Barrett,24,2,9,13,2,3,0,3,5,33,68.8,0.0,0,2,2,0,0,4,21,TorontoRaptors
ScottieBarnes,21,12,8,15,0,3,5,5,12,38,44.4,100.0,3,9,3,0,5,1,37,TorontoRaptors
ImmanuelQuickley,19,6,5,9,3,7,0,0,2,35,50.0,0,0,6,4,2,1,3,18,TorontoRaptors
GradeyDick,18,5,3,5,4,4,0,0,2,23,77.8,0,2,3,0,1,0,0,24,TorontoRaptors
JakobPoeltl,15,10,7,10,0,0,1,1,4,22,70.0,100.0,5,5,0,0,1,3,27,TorontoRaptors
OchaiAgbaji,13,2,3,5,1,2,4,4,2,20,57.1,100.0,0,2,0,0,0,0,14,TorontoRaptors
GaryTrentJr.,11,5,4,6,1,6,0,0,2,31,41.7,0,1,4,0,0,0,2,11,TorontoRaptors
KellyOlynyk,7,2,1,2,1,2,2,4,5,23,50.0,50.0,1,1,1,1,0,3,10,TorontoRaptors
BruceBrown,2,1,1,3,0,1,0,0,1,16,25.0,0,0,1,1,0,0,1,0,TorontoRaptors
TorontoRaptors,130,45,41,68,12,28,12,17,35,240,55.2,0,12,33,11,4,7,17,162,TorontoRaptors
