PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,Eff,Team
JamalMurray,32,3,8,9,5,6,1,1,6,33,52.9,0,0,3,5,1,0,0,35,DenverNuggets
AaronGordon,17,6,7,7,0,1,3,4,6,24,50.0,0,1,5,0,0,0,0,27,DenverNuggets
KentaviousCaldwell-Pope,16,2,2,4,4,6,0,0,4,29,37.5,0,1,1,0,3,0,3,21,DenverNuggets
NikolaJokic,14,14,5,9,0,0,4,4,11,32,35.7,75.0,1,13,2,3,1,3,37,DenverNuggets
MichaelPorter,14,5,3,5,2,6,2,2,1,24,42.9,100.0,0,5,3,0,1,3,12,DenverNuggets
PeytonWatson,6,2,3,5,0,1,0,0,1,20,33.3,100.0,1,1,2,0,1,2,5,DenverNuggets
ReggieJackson,5,1,1,4,1,2,0,0,4,19,40.0,0,0,1,1,0,0,0,5,DenverNuggets
ChristianBraun,5,3,1,2,1,6,0,0,0,20,50.0,0,0,3,0,1,0,2,3,DenverNuggets
JayHuff,3,2,0,0,1,1,0,0,0,4,40.0,0.0,0,2,0,0,0,0,5,DenverNuggets
HunterTyson,3,2,0,1,1,2,0,0,0,4,0.0,50.0,1,1,0,0,0,0,3,DenverNuggets
JustinHoliday,2,1,1,1,0,1,0,0,0,12,0.0,50.0,0,1,1,1,0,0,2,DenverNuggets
ZekeNnaji,0,2,0,3,0,1,0,0,0,14,0.0,0,0,2,0,1,3,2,2,DenverNuggets
JalenPickett,0,0,0,0,0,1,0,0,1,4,40.0,0,0,0,1,0,0,2,-1,DenverNuggets
JulianStrawther,0,0,0,1,0,1,0,0,1,2,0.0,0,0,0,0,0,0,0,-1,DenverNuggets
DenverNuggets,117,43,31,51,15,35,10,11,35,240,53.5,0,5,38,16,10,6,17,155,DenverNuggets
KeeganMurray,21,4,6,10,3,7,0,0,0,33,52.9,0,2,2,2,1,1,4,17,SacramentoKings
ChrisDuarte,18,3,3,6,4,8,0,0,1,26,50.0,0,0,3,0,2,2,1,19,SacramentoKings
MalikMonk,14,5,4,11,2,5,0,0,5,25,37.5,0,1,4,1,1,0,2,14,SacramentoKings
DomantasSabonis,13,10,5,13,0,1,3,4,7,32,35.7,75.0,5,5,3,1,0,0,18,SacramentoKings
TreyLyles,8,5,2,5,1,2,1,1,2,23,42.9,100.0,1,4,2,0,0,2,9,SacramentoKings
HarrisonBarnes,7,4,1,2,1,4,2,2,3,20,33.3,100.0,1,3,0,0,0,0,10,SacramentoKings
DavionMitchell,5,1,1,2,1,3,0,0,3,16,40.0,0,0,1,1,1,0,1,6,SacramentoKings
AlexLen,4,2,2,4,0,0,0,0,0,16,50.0,0,2,0,1,2,2,0,7,SacramentoKings
KevinHuerter,4,1,2,3,0,2,0,2,2,18,40.0,0.0,0,1,3,0,0,2,-1,SacramentoKings
MasonJones,1,4,0,1,0,2,1,2,4,13,0.0,50.0,1,3,0,0,0,0,5,SacramentoKings
KesslerEdwards,1,2,0,2,0,0,1,2,0,10,0.0,50.0,0,2,0,0,0,1,0,SacramentoKings
KeonEllis,0,2,0,1,0,1,0,0,1,8,0.0,0,2,0,1,0,0,1,0,SacramentoKings
SacramentoKings,96,43,26,60,12,35,8,13,28,240,40.0,0,15,28,14,8,5,14,104,SacramentoKings
