PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DeniAvdija,24,3,1,25,7-8,3-5,76.9%,1-4,25.0%,1,2,5,1,1,3,-15,19,WashingtonWizards
EugeneOmoruyi,16,10,3,23,5-9,1-3,50.0%,3-4,75.0%,5,5,0,3,0,3,-6,25,WashingtonWizards
DanielGafford,15,7,1,25,7-7,0-0,100.0%,1-2,50.0%,4,3,0,0,2,4,-22,24,WashingtonWizards
CoreyKispert,15,2,4,25,6-6,0-7,46.2%,3-3,100.0%,1,1,3,1,0,4,-18,12,WashingtonWizards
TyusJones,14,1,8,24,7-12,0-3,46.7%,0-0,-,0,1,2,1,0,0,-20,14,WashingtonWizards
LandryShamet,13,2,1,21,5-6,1-4,60.0%,0-0,-,2,0,1,0,0,1,-11,11,WashingtonWizards
JordanPoole,4,5,7,20,1-4,0-3,14.3%,2-2,100.0%,0,5,1,0,0,3,-16,9,WashingtonWizards
JulesBernard,3,1,3,7,0-1,1-1,50.0%,0-0,-,0,1,1,1,1,0,3,7,WashingtonWizards
PatrickBaldwinJr.,3,1,1,7,1-3,0-1,25.0%,1-2,50.0%,0,1,0,0,0,0,3,1,WashingtonWizards
JonathanDavis,3,0,1,18,0-4,1-3,14.3%,0-0,-,0,0,1,1,0,1,-8,-2,WashingtonWizards
DelonWright,2,1,2,13,1-2,0-1,33.3%,0-0,-,0,1,0,1,0,0,-8,4,WashingtonWizards
AnthonyGill,0,1,0,7,0-1,0-0,0.0%,0-0,-,0,1,3,2,0,0,3,-1,WashingtonWizards
BilalCoulibaly,0,1,0,25,0-1,0-1,0.0%,0-0,-,0,1,1,0,0,0,-25,-2,WashingtonWizards
WashingtonWizards,112,35,32,240,40-64,7-32,49.0%,11-17,64.7%  ,13,22,18,11,4,19,-140,121,WashingtonWizards
BradleyBeal,43,2,6,31,12-16,4-5,76.2%,7-7,100.0%,0,2,2,2,0,1,17,46,PhoenixSuns
JusufNurkic,18,13,8,25,7-10,0-1,63.6%,4-6,66.7%,4,9,1,1,0,3,20,33,PhoenixSuns
KevinDurant,18,4,3,26,4-6,3-3,77.8%,1-2,50.0%,0,4,1,2,1,0,18,24,PhoenixSuns
DevinBooker,14,1,6,26,3-8,1-3,36.4%,5-5,100.0%,0,1,0,0,0,4,22,14,PhoenixSuns
BolBol,8,7,0,15,4-5,0-2,57.1%,0-0,-,2,5,2,1,0,0,14,11,PhoenixSuns
YutaWatanabe,7,0,0,8,2-2,1-2,75.0%,0-0,-,0,0,1,2,0,0,-1,7,PhoenixSuns
EricGordon,7,0,0,19,2-3,1-3,50.0%,0-0,-,0,0,1,1,0,1,7,4,PhoenixSuns
GraysonAllen,6,3,4,27,1-2,1-4,33.3%,1-2,50.0%,0,3,1,0,0,0,30,7,PhoenixSuns
DrewEubanks,5,3,1,15,1-1,0-0,100.0%,3-4,75.0%,0,3,3,0,2,2,9,7,PhoenixSuns
JordanGoodwin,4,0,1,9,2-3,0-0,66.7%,0-0,-,0,0,0,2,1,1,-1,7,PhoenixSuns
JoshOkogie,4,2,0,16,2-2,0-0,100.0%,0-0,-,2,0,1,1,0,0,8,6,PhoenixSuns
ChimezieMetu,4,3,1,8,2-4,0-0,50.0%,0-0,-,1,2,2,1,0,0,-1,5,PhoenixSuns
KeitaBates-Diop,2,3,1,8,1-1,0-0,100.0%,0-0,-,0,3,2,0,2,0,-1,6,PhoenixSuns
NassirLittle,0,1,2,8,0-0,0-2,0.0%,0-0,-,0,1,0,0,0,0,-1,1,PhoenixSuns
PhoenixSuns,140,42,33,240,43-63,11-25,61.4%,21-26,80.8%  ,9,33,17,13,6,12,140,178,PhoenixSuns
