PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
NikolaJokic,29,8,7,34,11-17,1-3,60.0%,4-5,80.0%,1,7,2,2,0,1,-5,35,DenverNuggets
JamalMurray,21,5,10,34,4-10,4-6,50.0%,1-2,50.0%,2,3,1,1,2,2,16,29,DenverNuggets
PeytonWatson,12,6,1,30,3-3,2-3,83.3%,0-0,-,3,3,1,2,1,1,14,20,DenverNuggets
AaronGordon,12,7,2,30,4-7,0-1,50.0%,4-4,100.0%,3,4,0,0,0,3,-2,17,DenverNuggets
MichaelPorter,12,5,3,24,2-4,2-6,40.0%,2-2,100.0%,3,2,3,0,3,1,-2,14,DenverNuggets
KentaviousCaldwell-Pope,11,3,0,31,1-4,2-5,33.3%,3-3,100.0%,0,3,1,1,0,0,-5,8,DenverNuggets
ReggieJackson,7,4,1,21,2-7,1-4,27.3%,0-0,-,0,4,0,1,0,2,6,5,DenverNuggets
ChristianBraun,4,3,2,28,1-4,0-0,25.0%,2-3,66.7%,2,1,0,1,0,0,18,6,DenverNuggets
DeAndreJordan,4,1,0,8,2-2,0-0,100.0%,0-0,-,0,1,0,0,0,1,5,5,DenverNuggets
DenverNuggets,112,42,26,240,30-58,12-28,48.8%,16-19,84.2%  ,14,28,8,8,6,11,45,139,DenverNuggets
DeandreAyton,27,9,4,39,13-19,0-0,68.4%,1-1,100.0%,4,5,1,1,2,1,5,36,PortlandTrailBlazers
AnferneeSimons,26,6,9,39,4-10,4-8,44.4%,6-6,100.0%,0,6,4,1,0,0,-1,28,PortlandTrailBlazers
ScootHenderson,14,8,9,33,1-10,2-6,18.8%,6-6,100.0%,4,4,3,0,0,4,-7,15,PortlandTrailBlazers
ToumaniCamara,10,6,0,23,2-3,2-3,66.7%,0-0,-,2,4,1,0,0,4,10,13,PortlandTrailBlazers
KrisMurray,8,2,2,20,4-5,0-2,57.1%,0-0,-,0,2,2,1,2,2,-15,10,PortlandTrailBlazers
DuopReath,8,1,1,13,1-1,2-2,100.0%,0-0,-,0,1,1,0,0,3,-16,9,PortlandTrailBlazers
MatisseThybulle,6,1,3,34,1-2,1-5,28.6%,1-2,50.0%,0,1,0,3,0,1,4,7,PortlandTrailBlazers
JabariWalker,4,7,0,30,2-3,0-5,25.0%,0-0,-,3,4,1,0,0,1,-22,4,PortlandTrailBlazers
JustinMinaya,0,2,1,10,0-1,0-0,0.0%,0-0,-,2,0,0,0,0,0,-3,2,PortlandTrailBlazers
PortlandTrailBlazers,103,42,29,240,28-54,11-31,45.9%,14-15,93.3%  ,15,27,13,6,4,16,-45,124,PortlandTrailBlazers
