PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TraeYoung,28,1,11,43,5-14,2-8,31.8%,12-14,85.7%,0,1,5,1,1,2,7,20,AtlantaHawks
JalenT.Johnson,25,16,7,41,5-9,3-4,61.5%,6-6,100.0%,2,14,1,1,2,3,6,45,AtlantaHawks
DejounteMurray,25,5,5,38,3-11,5-7,44.4%,4-4,100.0%,0,5,1,1,0,2,1,25,AtlantaHawks
OnyekaOkongwu,19,11,1,36,7-10,0-0,70.0%,5-5,100.0%,6,5,2,0,2,5,-1,28,AtlantaHawks
SaddiqBey,15,10,1,37,5-10,1-6,37.5%,2-3,66.7%,6,4,1,0,0,1,-4,14,AtlantaHawks
BogdanBogdanovic,15,2,4,28,6-8,1-8,43.8%,0-1,0.0%,0,2,1,2,0,1,12,12,AtlantaHawks
BrunoFernando,8,5,0,17,3-4,0-0,75.0%,2-9,22.2%,2,3,1,1,3,2,8,8,AtlantaHawks
TrentForrest,4,5,3,19,2-2,0-1,66.7%,0-0,-,0,5,0,0,0,3,6,11,AtlantaHawks
PattyMills,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,2,0,0,AtlantaHawks
AtlantaHawks,139,57,32,265,36-68,12-34,47.1%,31-42,73.8%  ,17,40,13,6,8,21,35,163,AtlantaHawks
TyreseMaxey,35,8,9,43,8-18,4-11,41.4%,7-9,77.8%,1,7,3,4,0,6,2,34,Philadelphia76ers
TobiasHarris,32,10,4,41,11-22,1-2,50.0%,7-7,100.0%,2,8,1,0,1,2,1,34,Philadelphia76ers
MarcusMorris,17,4,1,26,1-1,3-8,44.4%,6-6,100.0%,1,3,1,0,0,3,-10,16,Philadelphia76ers
De&#039;AnthonyMelton,10,3,2,21,1-3,2-4,42.9%,2-2,100.0%,1,2,1,0,0,0,1,10,Philadelphia76ers
PaulReed,9,9,2,19,4-7,0-1,50.0%,1-1,100.0%,1,8,0,1,2,2,-2,19,Philadelphia76ers
PatrickBeverley,9,3,2,13,2-2,1-2,75.0%,2-2,100.0%,1,2,1,0,0,2,-15,12,Philadelphia76ers
KellyOubre,7,3,2,32,3-8,0-3,27.3%,1-2,50.0%,0,3,1,1,0,3,-8,3,Philadelphia76ers
NicolasBatum,6,4,2,37,1-2,1-2,50.0%,1-2,50.0%,2,2,1,0,3,4,2,11,Philadelphia76ers
MohamedBamba,5,6,2,14,2-3,0-1,50.0%,1-2,50.0%,4,2,1,1,3,3,-5,13,Philadelphia76ers
JadenSpringer,2,1,0,13,1-2,0-0,50.0%,0-0,-,0,1,0,1,0,2,-3,3,Philadelphia76ers
KenyonMartin,0,0,0,6,0-0,0-0,-,0-0,-,0,0,1,0,0,1,2,-1,Philadelphia76ers
Philadelphia76ers,132,54,26,265,34-68,12-34,45.1%,28-33,84.8%  ,13,41,12,8,9,28,-35,154,Philadelphia76ers
