PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JamesHarden,19,8,5,38,1-5,5-6,54.5%,2-3,66.7%,1,7,4,1,1,2,-1,24,LAClippers
NormanPowell,18,1,0,26,5-7,2-7,50.0%,2-2,100.0%,0,1,1,1,0,0,-12,12,LAClippers
KawhiLeonard,15,6,4,33,3-7,1-3,40.0%,6-8,75.0%,1,5,3,2,1,0,-11,17,LAClippers
IvicaZubac,12,8,1,21,5-5,0-0,100.0%,2-3,66.7%,1,7,0,0,0,0,6,20,LAClippers
MasonPlumlee,11,3,1,15,4-4,0-0,100.0%,3-3,100.0%,1,2,2,0,0,6,-16,13,LAClippers
AmirCoffey,8,0,3,21,0-0,2-4,50.0%,2-2,100.0%,0,0,0,0,0,0,-7,9,LAClippers
PaulGeorge,7,1,4,28,3-7,0-8,20.0%,1-1,100.0%,0,1,3,2,0,2,-4,-1,LAClippers
TeranceMann,5,5,1,25,1-4,1-1,40.0%,0-0,-,2,3,2,0,0,4,-5,6,LAClippers
RussellWestbrook,4,3,4,18,2-5,0-2,28.6%,0-0,-,2,1,3,1,0,2,-12,4,LAClippers
KobeBrown,3,1,0,3,0-0,1-1,100.0%,0-0,-,0,1,0,0,0,0,3,4,LAClippers
DanielTheis,2,1,0,7,0-1,0-0,0.0%,2-2,100.0%,0,1,0,0,0,1,1,2,LAClippers
B.J.Boston,2,0,0,3,0-1,0-0,0.0%,2-2,100.0%,0,0,1,0,0,0,3,0,LAClippers
LAClippers,106,40,23,240,24-46,12-32,46.2%,22-26,84.6%  ,9,31,19,7,2,17,-55,110,LAClippers
C.J.McCollum,25,7,4,36,5-6,5-11,58.8%,0-0,-,0,7,3,1,0,3,4,27,NewOrleansPelicans
ZionWilliamson,21,3,10,35,7-16,0-0,43.8%,7-10,70.0%,1,2,2,1,2,3,-6,23,NewOrleansPelicans
BrandonIngram,15,8,6,36,7-10,0-4,50.0%,1-2,50.0%,1,7,2,1,1,0,14,21,NewOrleansPelicans
HerbertJones,13,7,2,30,3-8,2-3,45.5%,1-2,50.0%,2,5,1,0,0,2,7,14,NewOrleansPelicans
TreyMurphyIII,13,1,2,23,2-3,3-8,45.5%,0-0,-,0,1,1,0,0,2,15,9,NewOrleansPelicans
DysonDaniels,10,4,1,22,5-5,0-2,71.4%,0-0,-,1,3,1,4,2,2,6,18,NewOrleansPelicans
JonasValanciunas,8,2,1,11,3-3,0-0,100.0%,2-2,100.0%,0,2,1,1,0,1,2,11,NewOrleansPelicans
JoseAlvarado,7,1,0,13,2-2,1-2,75.0%,0-0,-,1,0,0,0,0,0,6,7,NewOrleansPelicans
JordanHawkins,3,0,0,2,0-2,1-1,33.3%,0-0,-,0,0,0,0,0,0,-2,1,NewOrleansPelicans
LarryNance,2,3,3,27,1-1,0-0,100.0%,0-0,-,1,2,0,4,0,3,13,12,NewOrleansPelicans
JeremiahRobinson-Earl,0,1,1,2,0-0,0-1,0.0%,0-0,-,1,0,0,0,0,1,-2,1,NewOrleansPelicans
CodyZeller,0,1,0,2,0-0,0-0,-,0-0,-,0,1,1,1,0,0,-2,1,NewOrleansPelicans
NewOrleansPelicans,117,42,30,240,35-56,12-32,53.4%,11-16,68.8%  ,12,30,13,13,5,17,55,145,NewOrleansPelicans
