PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
StephenCurry,26,6,4,31,3-7,4-12,36.8%,8-9,88.9%,0,6,4,1,1,0,0,21,GoldenStateWarriors
KlayThompson,19,3,4,35,3-9,3-9,33.3%,4-4,100.0%,1,2,2,1,2,2,14,15,GoldenStateWarriors
DarioSaric,17,3,1,22,3-5,3-5,60.0%,2-2,100.0%,0,3,1,0,0,3,-7,16,GoldenStateWarriors
TrayceJackson-Davis,11,9,0,23,5-5,0-0,100.0%,1-1,100.0%,2,7,2,0,1,2,-2,19,GoldenStateWarriors
BrandinPodziemski,11,5,5,25,2-5,2-2,57.1%,1-3,33.3%,2,3,1,1,0,2,-3,16,GoldenStateWarriors
JonathanKuminga,11,6,1,36,4-7,0-1,50.0%,3-3,100.0%,0,6,4,0,0,2,16,10,GoldenStateWarriors
ChrisPaul,8,6,4,24,1-1,2-4,60.0%,0-1,0.0%,0,6,1,0,1,2,2,15,GoldenStateWarriors
KevonLooney,4,4,1,12,1-1,0-0,100.0%,2-2,100.0%,1,3,0,0,0,2,6,9,GoldenStateWarriors
CoryJoseph,3,0,2,9,0-0,1-2,50.0%,0-0,-,0,0,0,0,0,0,3,4,GoldenStateWarriors
AndrewWiggins,3,2,2,19,0-3,1-2,20.0%,0-0,-,1,1,1,0,0,2,-5,2,GoldenStateWarriors
MosesMoody,0,1,0,6,0-1,0-1,0.0%,0-0,-,0,1,0,0,0,1,-4,-1,GoldenStateWarriors
GoldenStateWarriors,113,45,24,240,22-44,16-38,46.3%,21-25,84.0%  ,7,38,16,3,5,18,20,126,GoldenStateWarriors
CadeCunningham,30,5,3,35,12-15,1-7,59.1%,3-3,100.0%,0,5,2,0,1,2,-7,28,DetroitPistons
KevinKnox,18,1,3,23,3-5,4-8,53.8%,0-0,-,0,1,0,1,2,3,-6,19,DetroitPistons
JalenDuren,13,12,2,33,6-6,0-0,100.0%,1-2,50.0%,4,8,1,0,2,2,-5,27,DetroitPistons
AlecBurks,13,4,2,21,2-4,3-10,35.7%,0-0,-,1,3,2,0,1,2,9,9,DetroitPistons
JadenIvey,12,4,3,24,3-5,2-5,50.0%,0-0,-,2,2,4,0,1,6,-1,11,DetroitPistons
BojanBogdanovic,12,5,3,36,3-11,2-8,26.3%,0-0,-,2,3,1,2,0,0,-7,7,DetroitPistons
IsaiahLivers,5,1,1,22,1-1,1-2,66.7%,0-0,-,0,1,0,1,0,2,-7,7,DetroitPistons
JamesWiseman,4,3,0,15,1-4,0-1,20.0%,2-3,66.7%,1,2,0,0,2,2,1,4,DetroitPistons
AusarThompson,2,4,1,9,0-2,0-1,0.0%,2-2,100.0%,0,4,1,2,0,3,3,5,DetroitPistons
KillianHayes,0,1,5,16,0-1,0-2,0.0%,0-0,-,0,1,0,2,0,0,-4,5,DetroitPistons
MarcusSasser,0,0,2,6,0-0,0-0,-,0-0,-,0,0,0,0,0,1,4,2,DetroitPistons
DetroitPistons,109,40,25,240,31-54,13-44,44.9%,8-10,80.0%  ,10,30,11,8,9,23,-20,124,DetroitPistons
