PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ShaiGilgeous-Alexander,20,5,8,38,8-15,0-5,40.0%,4-5,80.0%,0,5,2,3,0,2,3,21,OklahomaCityThunder
ChetHolmgren,19,11,3,37,7-9,1-5,57.1%,2-2,100.0%,3,8,5,1,2,4,-1,25,OklahomaCityThunder
JalenWilliams,18,8,3,38,5-10,0-3,38.5%,8-9,88.9%,1,7,1,0,0,3,-6,19,OklahomaCityThunder
JoshGiddey,15,9,4,31,5-12,1-4,37.5%,2-2,100.0%,0,9,2,1,1,1,-6,18,OklahomaCityThunder
AaronWiggins,10,4,2,14,4-4,0-1,80.0%,2-2,100.0%,0,4,2,0,0,5,14,13,OklahomaCityThunder
LuguentzDort,9,2,0,30,0-1,3-6,42.9%,0-0,-,1,1,1,1,0,4,-3,7,OklahomaCityThunder
IsaiahJoe,9,1,1,14,0-0,2-7,28.6%,3-3,100.0%,0,1,0,0,0,0,-4,6,OklahomaCityThunder
CasonWallace,4,2,1,18,1-2,0-0,50.0%,2-2,100.0%,0,2,0,0,0,4,-4,6,OklahomaCityThunder
OusmaneDieng,2,2,1,12,1-1,0-3,25.0%,0-0,-,0,2,0,0,0,0,-11,2,OklahomaCityThunder
OlivierSarr,0,5,0,7,0-0,0-0,-,0-0,-,1,4,1,0,2,1,-4,6,OklahomaCityThunder
LindyWaters,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,2,0,OklahomaCityThunder
OklahomaCityThunder,106,49,23,240,31-54,7-34,43.2%,23-25,92.0%  ,6,43,14,6,5,24,-20,123,OklahomaCityThunder
C.J.McCollum,29,11,5,37,5-9,5-8,58.8%,4-7,57.1%,1,10,1,0,1,2,16,35,NewOrleansPelicans
ZionWilliamson,20,10,8,33,7-20,0-0,35.0%,6-9,66.7%,7,3,4,0,0,4,-7,18,NewOrleansPelicans
JonasValanciunas,19,9,1,21,5-9,1-1,60.0%,6-7,85.7%,3,6,0,1,1,2,8,26,NewOrleansPelicans
JordanHawkins,10,6,5,37,2-6,2-13,21.1%,0-0,-,4,2,1,2,0,2,17,7,NewOrleansPelicans
LarryNance,9,7,2,23,3-4,1-1,80.0%,0-2,0.0%,2,5,0,2,0,2,-1,17,NewOrleansPelicans
DysonDaniels,8,4,1,25,2-4,1-6,30.0%,1-4,25.0%,3,1,1,1,2,1,-6,5,NewOrleansPelicans
HerbertJones,5,6,1,31,1-3,1-6,22.2%,0-0,-,0,6,1,0,1,5,10,5,NewOrleansPelicans
KiraLewis,5,0,0,10,1-2,1-2,50.0%,0-0,-,0,0,1,2,0,0,-8,4,NewOrleansPelicans
MattRyan,5,3,0,20,1-1,1-5,33.3%,0-0,-,0,3,1,0,0,2,-3,3,NewOrleansPelicans
CodyZeller,0,2,0,2,0-2,0-0,0.0%,0-0,-,2,0,0,0,0,0,-6,0,NewOrleansPelicans
NewOrleansPelicans,110,58,23,240,27-60,13-42,39.2%,17-29,58.6%  ,22,36,10,8,5,20,20,120,NewOrleansPelicans
