PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LeBronJames,28,10,12,35,6-8,3-7,60.0%,7-8,87.5%,2,8,6,4,1,1,0,42,LosAngelesLakers
D&#039;AngeloRussell,28,5,5,35,8-14,4-6,60.0%,0-0,-,3,2,2,0,1,3,-13,29,LosAngelesLakers
CameronReddish,16,2,0,32,5-9,2-5,50.0%,0-0,-,0,2,1,5,0,1,0,15,LosAngelesLakers
AustinReaves,9,11,8,34,4-5,0-5,40.0%,1-2,50.0%,2,9,4,1,0,1,0,18,LosAngelesLakers
AnthonyDavis,9,9,0,35,3-8,0-1,33.3%,3-3,100.0%,0,9,5,0,4,4,-13,11,LosAngelesLakers
TaureanPrince,7,2,0,25,2-3,1-4,42.9%,0-0,-,0,2,0,1,0,2,-24,6,LosAngelesLakers
ChristianWood,5,2,0,9,2-2,0-0,100.0%,1-2,50.0%,0,2,1,0,0,1,-6,5,LosAngelesLakers
RuiHachimura,5,0,0,18,1-4,1-1,40.0%,0-0,-,0,0,0,0,0,0,-5,2,LosAngelesLakers
JaxsonHayes,3,1,0,13,0-0,0-0,-,3-4,75.0%,0,1,2,1,0,4,-2,2,LosAngelesLakers
D&#039;MoiHodge,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,-4,0,LosAngelesLakers
MaxChristie,0,1,0,1,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,0,-4,-1,LosAngelesLakers
MaxwellLewis,0,0,0,1,0-0,0-0,-,0-0,-,0,0,1,0,0,0,-4,-1,LosAngelesLakers
LosAngelesLakers,110,43,25,240,31-54,11-29,50.6%,15-19,78.9%  ,7,36,23,12,6,17,-75,128,LosAngelesLakers
DomantasSabonis,29,16,7,39,12-18,1-1,68.4%,2-2,100.0%,5,11,4,3,1,3,20,46,SacramentoKings
KevinHuerter,28,4,7,38,4-5,6-11,62.5%,2-2,100.0%,0,4,0,2,0,2,21,35,SacramentoKings
De&#039;AaronFox,28,5,5,38,7-13,3-9,45.5%,5-7,71.4%,3,2,3,4,0,3,15,25,SacramentoKings
HarrisonBarnes,13,1,2,39,2-4,3-6,50.0%,0-0,-,0,1,2,4,0,3,16,13,SacramentoKings
KeeganMurray,9,6,2,31,1-2,2-7,33.3%,1-2,50.0%,0,6,1,2,0,2,13,11,SacramentoKings
JaValeMcGee,7,6,1,9,3-3,0-0,100.0%,1-2,50.0%,2,4,2,2,0,3,-7,13,SacramentoKings
ChrisDuarte,4,0,1,4,2-2,0-0,100.0%,0-0,-,0,0,0,0,0,1,3,5,SacramentoKings
SashaVezenkov,4,0,0,12,1-1,0-3,25.0%,2-2,100.0%,0,0,0,2,0,0,-6,3,SacramentoKings
MalikMonk,3,5,5,21,0-3,1-5,12.5%,0-0,-,0,5,3,1,0,1,-6,4,SacramentoKings
KeonEllis,0,2,1,9,0-1,0-2,0.0%,0-0,-,1,1,0,0,0,2,6,0,SacramentoKings
KesslerEdwards,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,SacramentoKings
JalenSlawson,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,SacramentoKings
FilipPetrusev,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,SacramentoKings
SacramentoKings,125,45,31,240,32-52,16-44,50.0%,13-17,76.5%  ,11,34,15,20,1,20,75,155,SacramentoKings
