PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CadeCunningham,25,4,10,40,8-15,1-4,47.4%,6-7,85.7%,0,4,6,0,0,3,10,22,DetroitPistons
JalenDuren,23,15,5,33,9-11,0-0,81.8%,5-5,100.0%,6,9,1,1,2,3,6,43,DetroitPistons
AlecBurks,18,2,0,26,0-2,6-10,50.0%,0-1,0.0%,0,2,0,0,1,1,19,14,DetroitPistons
IsaiahStewart,14,9,0,34,6-11,0-3,42.9%,2-3,66.7%,2,7,2,0,0,4,17,12,DetroitPistons
MarvinBagley,11,6,0,15,4-7,1-1,62.5%,0-0,-,2,4,0,0,0,2,10,14,DetroitPistons
AusarThompson,9,12,5,31,3-5,0-2,42.9%,3-4,75.0%,3,9,2,1,1,3,6,21,DetroitPistons
JadenIvey,7,0,3,22,2-4,1-2,50.0%,0-0,-,0,0,2,1,0,0,5,6,DetroitPistons
KillianHayes,6,1,4,23,0-2,2-3,40.0%,0-0,-,1,0,1,1,0,2,7,8,DetroitPistons
JoeHarris,3,1,1,11,0-0,1-2,50.0%,0-0,-,0,1,1,0,0,0,1,3,DetroitPistons
MarcusSasser,2,3,1,6,1-1,0-1,50.0%,0-0,-,1,2,0,0,0,0,2,5,DetroitPistons
StanleyUmude,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,-3,0,DetroitPistons
DetroitPistons,118,53,29,240,33-58,12-28,52.3%,16-20,80.0%  ,15,38,15,4,4,18,80,148,DetroitPistons
ZachLaVine,51,4,0,37,12-19,7-13,59.4%,6-8,75.0%,1,3,3,1,0,2,-8,38,ChicagoBulls
DeMarDerozan,20,2,4,32,7-12,0-1,53.8%,6-7,85.7%,1,1,1,1,2,3,-11,21,ChicagoBulls
NikolaVucevic,12,4,1,32,4-10,1-2,41.7%,1-1,100.0%,0,4,1,0,0,5,-11,9,ChicagoBulls
AyoDosunmu,5,3,3,15,1-5,1-2,28.6%,0-0,-,2,1,0,0,0,0,-6,6,ChicagoBulls
TorreyCraig,4,3,0,23,2-5,0-2,28.6%,0-0,-,1,2,0,0,1,3,-12,3,ChicagoBulls
DalenTerry,3,0,0,1,0-0,1-1,100.0%,0-0,-,0,0,0,0,0,0,0,3,ChicagoBulls
JevonCarter,3,1,0,13,0-2,1-4,16.7%,0-0,-,1,0,0,0,0,0,-5,-1,ChicagoBulls
AlexCaruso,2,5,4,21,1-2,0-0,50.0%,0-0,-,2,3,1,4,1,3,-16,14,ChicagoBulls
AndreDrummond,2,5,2,14,1-6,0-0,16.7%,0-0,-,3,2,0,3,1,0,-5,8,ChicagoBulls
PatrickWilliams,0,3,1,21,0-2,0-1,0.0%,0-0,-,1,2,1,1,0,3,4,1,ChicagoBulls
JulianPhillips,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,ChicagoBulls
TerryTaylor,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,ChicagoBulls
CobyWhite,0,2,1,28,0-2,0-2,0.0%,0-0,-,0,2,1,0,0,1,-10,-2,ChicagoBulls
ChicagoBulls,102,32,16,240,28-65,11-28,41.9%,13-16,81.3%  ,12,20,8,10,5,20,-80,100,ChicagoBulls
