PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MylesTurner,27,9,0,31,5-9,4-5,64.3%,5-6,83.3%,1,8,3,2,2,4,11,31,IndianaPacers
BruceBrown,19,7,2,37,5-9,3-6,53.3%,0-0,-,1,6,2,0,0,2,9,19,IndianaPacers
TyreseHaliburton,18,2,13,34,5-9,0-5,35.7%,8-9,88.9%,0,2,4,2,0,2,3,21,IndianaPacers
BuddyHield,14,5,2,30,1-2,4-7,55.6%,0-0,-,0,5,1,0,1,2,16,17,IndianaPacers
JalenSmith,13,5,2,17,5-7,1-1,75.0%,0-0,-,2,3,3,0,1,2,-4,16,IndianaPacers
AaronNesmith,13,5,0,27,3-4,2-4,62.5%,1-4,25.0%,1,4,2,2,1,3,1,13,IndianaPacers
ObiToppin,6,4,1,21,3-5,0-1,50.0%,0-0,-,1,3,0,0,0,2,0,8,IndianaPacers
AndrewNembhard,6,0,3,18,2-5,0-0,40.0%,2-2,100.0%,0,0,2,0,0,0,-7,4,IndianaPacers
BennedictMathurin,5,3,5,24,1-5,1-2,28.6%,0-3,0.0%,1,2,1,1,0,1,-4,5,IndianaPacers
IndianaPacers,121,40,28,240,30-55,15-31,52.3%,16-24,66.7%  ,7,33,18,7,5,18,25,134,IndianaPacers
DonovanMitchell,38,5,9,37,9-14,4-7,61.9%,8-10,80.0%,1,4,3,1,0,1,0,40,ClevelandCavaliers
EvanMobley,14,10,5,36,7-11,0-2,53.8%,0-0,-,2,8,2,3,4,2,11,28,ClevelandCavaliers
DariusGarland,14,0,6,32,5-9,0-2,45.5%,4-4,100.0%,0,0,4,2,1,1,-10,13,ClevelandCavaliers
CarisLeVert,13,5,4,30,5-8,0-4,41.7%,3-4,75.0%,0,5,1,0,1,2,-1,14,ClevelandCavaliers
GeorgesNiang,12,5,1,27,2-3,2-6,44.4%,2-2,100.0%,0,5,0,0,0,2,9,13,ClevelandCavaliers
JarrettAllen,10,7,0,21,4-6,0-0,66.7%,2-3,66.7%,2,5,1,1,2,4,-1,16,ClevelandCavaliers
MaxStrus,10,1,0,28,3-3,1-6,44.4%,1-2,50.0%,0,1,1,1,1,2,3,6,ClevelandCavaliers
IsaacOkoro,5,1,2,23,1-2,1-1,66.7%,0-0,-,0,1,1,2,0,4,-19,8,ClevelandCavaliers
TristanThompson,0,1,0,3,0-0,0-0,-,0-0,-,0,1,0,0,0,1,-8,1,ClevelandCavaliers
DeanWade,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,1,-9,0,ClevelandCavaliers
ClevelandCavaliers,116,35,27,240,36-56,8-28,52.4%,20-25,80.0%  ,5,30,13,10,9,20,-25,139,ClevelandCavaliers
