PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
D&#039;AngeloRussell,24,3,5,27,2-4,6-8,66.7%,2-3,66.7%,0,3,0,0,0,0,25,27,LosAngelesLakers
RuiHachimura,23,3,0,24,5-7,3-3,80.0%,4-4,100.0%,0,3,5,0,0,2,6,19,LosAngelesLakers
AnthonyDavis,19,11,5,27,7-11,0-0,63.6%,5-6,83.3%,4,7,2,0,6,1,21,34,LosAngelesLakers
AustinReaves,16,12,7,29,1-5,4-4,55.6%,2-3,66.7%,2,10,3,0,0,0,13,27,LosAngelesLakers
LeBronJames,16,9,6,23,3-5,3-6,54.5%,1-2,50.0%,0,9,4,1,0,1,15,22,LosAngelesLakers
JaxsonHayes,11,1,1,21,4-4,0-0,100.0%,3-4,75.0%,1,0,0,1,3,2,6,16,LosAngelesLakers
CameronReddish,10,1,2,25,0-2,3-5,42.9%,1-2,50.0%,0,1,0,0,0,2,16,8,LosAngelesLakers
TaureanPrince,8,3,1,29,1-1,2-5,50.0%,0-0,-,0,3,0,1,0,3,9,10,LosAngelesLakers
MaxChristie,5,1,1,9,1-1,1-1,100.0%,0-0,-,0,1,1,1,0,0,10,7,LosAngelesLakers
ChristianWood,2,10,2,22,1-5,0-3,12.5%,0-0,-,3,7,3,0,1,2,9,5,LosAngelesLakers
MaxwellLewis,0,0,0,5,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,5,-1,LosAngelesLakers
LosAngelesLakers,134,54,30,240,25-46,22-35,58.0%,18-24,75.0%  ,10,44,18,4,10,13,135,174,LosAngelesLakers
SantiagoAldama,24,5,4,25,6-7,3-8,60.0%,3-5,60.0%,0,5,3,0,2,0,-12,24,MemphisGrizzlies
DavidRoddy,17,3,3,31,4-9,2-8,35.3%,3-4,75.0%,1,2,0,2,2,2,-7,15,MemphisGrizzlies
XavierTillman,15,2,2,22,3-4,3-3,85.7%,0-0,-,1,1,1,1,0,1,-4,18,MemphisGrizzlies
DesmondBane,15,1,5,27,3-4,2-6,50.0%,3-3,100.0%,0,1,2,0,0,1,-24,14,MemphisGrizzlies
ZiaireWilliams,10,1,0,26,2-9,2-7,25.0%,0-0,-,0,1,1,1,1,3,-15,0,MemphisGrizzlies
JacobGilyard,9,3,1,21,0-0,3-5,60.0%,0-0,-,1,2,1,2,0,2,-13,12,MemphisGrizzlies
JarenJacksonJr.,8,2,2,22,1-10,2-6,18.8%,0-0,-,2,0,1,0,1,2,-16,-1,MemphisGrizzlies
JohnKonchar,6,3,6,18,0-1,2-3,50.0%,0-0,-,1,2,0,1,0,1,0,14,MemphisGrizzlies
MarcusSmart,3,1,1,8,0-1,1-2,33.3%,0-0,-,0,1,0,1,1,0,-7,5,MemphisGrizzlies
BismackBiyombo,0,8,4,23,0-5,0-0,0.0%,0-0,-,6,2,0,0,2,3,-21,9,MemphisGrizzlies
VinceWilliamsJr.,0,1,0,5,0-0,0-1,0.0%,0-0,-,0,1,0,0,0,0,-5,0,MemphisGrizzlies
LukeKennard,0,3,0,6,0-2,0-3,0.0%,0-0,-,1,2,0,0,0,0,-6,-2,MemphisGrizzlies
KennyLofton,0,0,0,5,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,0,-5,-2,MemphisGrizzlies
MemphisGrizzlies,107,33,28,240,19-53,20-53,36.8%,9-12,75.0%  ,13,20,9,8,9,15,-135,106,MemphisGrizzlies
