,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
234,BojanBogdanovic,30,32.6,0.596,11.4,10.1,0.0,1.5,0.0,5.8,13.74,0.0,0.0
235,PaytonPritchard,55,20.7,0.579,26.9,5.6,0.0,0.0,0.0,0.0,13.73,0.0,0.0
236,IsaiahJoe,50,18.6,0.64,13.4,7.2,0.0,0.0,0.0,0.0,13.69,0.0,0.0
237,JeremiahRobinson-Earl,21,10.0,0.621,12.2,11.0,0.0,0.0,0.0,0.0,13.67,0.0,0.0
238,BrandinPodziemski,46,26.3,0.548,27.1,9.0,0.0,0.0,0.0,0.0,13.66,51.6,1.7
239,MarkelleFultz,21,24.0,0.5,27.8,8.7,0.0,0.0,0.0,0.0,13.64,0.0,0.0
240,UdokaAzubuike,14,7.6,0.652,8.9,11.8,0.0,0.0,0.0,0.0,13.63,4.8,0.2
241,DennisSchroder,54,30.3,0.553,30.6,8.3,0.0,1.5,0.0,5.1,13.58,0.0,0.0
242,HerbertJones,50,28.7,0.628,19.6,10.0,0.0,0.0,0.0,0.0,13.58,0.0,0.0
243,SashaVezenkov,35,12.6,0.574,7.6,5.6,0.0,0.0,0.0,0.0,13.57,18.2,0.6
244,BraxtonKey,15,3.4,0.482,30.0,3.8,0.0,0.0,0.0,0.0,13.57,2.1,0.1
245,GraysonAllen,49,32.9,0.69,23.0,9.8,0.0,0.0,0.0,0.0,13.56,0.0,0.0
246,GaryPaytonII,19,16.1,0.585,15.9,8.7,0.0,0.0,0.0,0.0,13.55,0.0,0.0
247,JadenIvey,50,27.7,0.559,18.4,12.5,0.0,0.0,0.0,0.0,13.53,0.0,0.0
248,OGAnunoby,41,34.2,0.609,13.9,9.3,0.0,3.0,0.0,6.8,13.52,0.0,0.0
249,BuddyHield,56,26.6,0.595,20.1,8.8,0.0,2.7,0.0,7.0,13.51,0.0,0.0
250,KellyOubreJr.,42,29.0,0.556,7.5,5.7,0.0,0.0,0.0,0.0,13.5,0.0,0.0
251,JalenGreen,54,30.6,0.527,14.9,9.7,0.0,0.0,0.0,0.0,13.48,0.0,0.0
252,RobertCovington,29,16.8,0.58,16.6,7.6,0.0,7.0,0.0,11.0,13.43,0.0,0.0
253,JoseAlvarado,37,16.6,0.541,20.4,7.6,0.0,0.0,0.0,0.0,13.41,0.0,0.0
254,JaxsonHayes,45,11.0,0.703,13.2,13.8,0.0,0.0,0.0,0.0,13.39,20.6,0.7
255,JordanNwora,28,11.0,0.56,16.8,10.0,0.0,4.7,0.0,10.1,13.3,0.0,0.0
256,JabariSmithJr.,49,31.6,0.567,10.0,8.8,0.0,0.0,0.0,0.0,13.24,0.0,0.0
257,NajiMarshall,44,18.5,0.577,20.3,11.5,0.0,0.0,0.0,0.0,13.2,0.0,0.0
258,De'AnthonyMelton,33,29.1,0.54,20.8,7.5,0.0,0.0,0.0,0.0,13.18,0.0,0.0
259,LukeKennard,27,24.7,0.638,23.8,8.5,0.0,0.0,0.0,0.0,13.16,0.0,0.0
260,ZachCollins,43,24.2,0.557,20.0,13.3,0.0,0.0,0.0,0.0,13.16,0.0,0.0
261,SpencerDinwiddie,50,30.7,0.533,31.5,7.1,0.0,1.8,0.0,5.7,13.15,0.0,0.0
262,KeeganMurray,50,32.5,0.569,10.9,5.5,0.0,0.0,0.0,0.0,13.11,0.0,0.0
263,De'AndreHunter,31,28.4,0.618,8.9,9.8,0.0,0.0,0.0,0.0,13.11,0.0,0.0
264,JaraceWalker,17,10.2,0.536,20.2,10.1,0.0,0.0,0.0,0.0,13.11,6.0,0.2
265,TimHardawayJr.,52,29.8,0.561,9.6,5.3,0.0,0.0,0.0,0.0,13.1,0.0,0.0
266,AusarThompson,54,24.0,0.52,16.2,11.3,0.0,0.0,0.0,0.0,13.1,44.6,1.5
267,SaddiqBey,54,32.5,0.554,10.1,5.7,0.0,0.0,0.0,0.0,13.09,0.0,0.0
268,JabariWalker,49,22.1,0.557,8.8,10.3,0.0,0.0,0.0,0.0,13.09,36.9,1.2
269,Devonte'Graham,12,8.3,0.522,34.2,5.4,0.0,0.0,0.0,0.0,13.06,0.0,0.0
270,ReggieJackson,55,23.1,0.543,26.0,8.6,0.0,0.0,0.0,0.0,13.02,0.0,0.0
271,MilesMcBride,42,12.5,0.566,15.2,5.8,0.0,0.0,0.0,0.0,13.02,0.0,0.0
272,KevinHuerter,52,25.0,0.578,20.4,6.1,0.0,0.0,0.0,0.0,13.01,0.0,0.0
273,StanleyUmude,17,11.2,0.711,10.9,13.3,0.0,0.0,0.0,0.0,12.95,6.1,0.2
274,DuncanRobinson,50,27.4,0.623,19.0,9.0,0.0,0.0,0.0,0.0,12.91,0.0,0.0
275,DamianJones,25,6.0,0.624,20.7,15.6,0.0,0.0,0.0,0.0,12.91,5.2,0.2
276,VinceWilliamsJr.,43,26.4,0.599,23.3,11.5,0.0,0.0,0.0,0.0,12.89,35.4,1.2
277,SantiAldama,43,24.6,0.528,16.0,8.3,0.0,0.0,0.0,0.0,12.88,0.0,0.0
278,MosesBrown,9,9.1,0.395,7.0,13.9,0.0,0.0,0.0,0.0,12.87,2.8,0.1
279,CoreyKispert,53,22.5,0.616,13.2,8.4,0.0,0.0,0.0,0.0,12.82,0.0,0.0
280,BrandonMiller,48,31.4,0.556,12.1,9.0,0.0,0.0,0.0,0.0,12.8,45.0,1.5
281,DruSmith,9,14.6,0.576,26.5,9.5,0.0,0.0,0.0,0.0,12.7,3.7,0.1
282,AyoDosunmu,53,25.5,0.61,19.7,9.3,0.0,0.0,0.0,0.0,12.7,0.0,0.0
283,JalenSuggs,50,26.9,0.576,16.1,12.5,0.0,0.0,0.0,0.0,12.63,0.0,0.0
284,JaimeJaquezJr.,49,29.5,0.574,16.7,10.9,0.0,0.0,0.0,0.0,12.61,39.0,1.3
285,BennedictMathurin,52,25.5,0.561,11.7,10.3,0.0,0.0,0.0,0.0,12.56,0.0,0.0
286,TreyLyles,39,20.1,0.625,15.3,7.8,0.0,0.0,0.0,0.0,12.56,0.0,0.0
287,JordanGoodwin,41,14.2,0.483,24.9,8.9,0.0,8.5,0.0,11.7,12.54,0.0,0.0
288,KyleAnderson,54,21.9,0.524,36.4,10.9,0.0,0.0,0.0,0.0,12.53,0.0,0.0
289,JordanClarkson,45,30.1,0.524,19.8,11.4,0.0,0.0,0.0,0.0,12.51,0.0,0.0
290,CameronPayne,51,15.8,0.583,28.6,7.6,0.0,1.3,0.0,4.8,12.48,0.0,0.0
291,P.J.Washington,47,29.2,0.54,13.7,9.4,0.0,4.3,0.0,10.1,12.37,0.0,0.0
292,KlayThompson,49,30.6,0.554,11.8,8.0,0.0,0.0,0.0,0.0,12.34,0.0,0.0
293,ChristianWood,50,17.4,0.568,12.1,12.4,0.0,0.0,0.0,0.0,12.28,21.9,0.7
294,A.J.Lawson,27,8.5,0.558,11.3,8.7,0.0,0.0,0.0,0.0,12.25,5.0,0.2
295,NateWilliams,10,7.4,0.499,12.8,2.6,0.0,0.0,0.0,0.0,12.2,1.5,0.1
296,PeytonWatson,53,18.3,0.56,13.2,8.7,0.0,0.0,0.0,0.0,12.19,20.1,0.7
297,LandryShamet,37,15.1,0.569,14.9,7.3,0.0,0.0,0.0,0.0,12.16,0.0,0.0
298,AJGreen,35,9.2,0.622,13.9,2.1,0.0,0.0,0.0,0.0,12.06,6.0,0.2
299,BruceBrown,47,28.6,0.561,19.7,8.5,0.0,3.3,0.0,9.1,11.96,0.0,0.0
300,DerrickJonesJr.,50,25.3,0.598,10.2,9.4,0.0,0.0,0.0,0.0,11.96,0.0,0.0
301,AmirCoffey,41,17.9,0.711,13.5,7.0,0.0,0.0,0.0,0.0,11.93,0.0,0.0
302,JoshOkogie,49,17.6,0.547,17.9,8.8,0.0,0.0,0.0,0.0,11.91,0.0,0.0
303,AndrewNembhard,42,22.9,0.559,31.9,11.8,0.0,0.0,0.0,0.0,11.87,0.0,0.0
304,IsaacOkoro,44,26.2,0.599,18.4,7.6,0.0,0.0,0.0,0.0,11.85,0.0,0.0
305,TroyBrownJr.,40,11.5,0.602,19.3,9.4,0.0,4.0,0.0,10.4,11.77,0.0,0.0
306,XavierTillman,34,20.6,0.44,17.9,9.1,0.0,0.0,0.0,0.0,11.75,9.9,0.3
307,HarrisonBarnes,54,29.9,0.628,10.1,6.1,0.0,0.0,0.0,0.0,11.74,0.0,0.0
308,SkylarMays,29,14.2,0.461,31.5,7.2,0.0,2.6,0.0,5.6,11.74,0.0,0.0
309,MarcusSmart,20,30.3,0.552,21.0,15.1,0.0,0.0,0.0,0.0,11.71,0.0,0.0
310,AaronHoliday,51,17.9,0.601,21.6,9.0,0.0,0.0,0.0,0.0,11.71,0.0,0.0
311,BrandonWilliams,12,4.9,0.447,28.7,7.2,0.0,0.0,0.0,0.0,11.7,0.0,0.0
312,EricGordon,47,29.7,0.599,16.1,9.1,0.0,0.0,0.0,0.0,11.69,0.0,0.0
313,JacobGilyard,36,17.8,0.61,42.6,9.5,0.0,0.0,0.0,0.0,11.68,8.3,0.3
314,JadenHardy,50,15.7,0.52,16.2,7.5,0.0,0.0,0.0,0.0,11.6,0.0,0.0
315,SamHauser,54,21.5,0.628,12.2,6.1,0.0,0.0,0.0,0.0,11.59,0.0,0.0
316,NikolaJovic,22,16.5,0.557,23.3,11.6,0.0,0.0,0.0,0.0,11.58,0.0,0.0
317,JamesJohnson,5,4.8,0.4,41.7,16.7,0.0,0.0,0.0,0.0,11.58,0.0,0.0
318,JayHuff,8,2.8,0.714,11.1,11.1,0.0,0.0,0.0,0.0,11.57,0.3,0.0
319,JarredVanderbilt,29,20.0,0.578,18.6,14.4,0.0,0.0,0.0,0.0,11.56,0.0,0.0
320,JaylinWilliams,46,12.4,0.525,25.5,7.5,0.0,0.0,0.0,0.0,11.54,6.3,0.2
321,CodyZeller,36,8.0,0.468,29.5,11.3,0.0,0.0,0.0,0.0,11.54,4.0,0.1
322,NicolasBatum,34,24.9,0.684,32.5,8.7,0.0,5.5,0.0,8.6,11.52,0.0,0.0
323,ZekeNnaji,40,9.6,0.513,13.1,14.2,0.0,0.0,0.0,0.0,11.49,0.0,0.0
324,AnthonyGill,29,5.6,0.564,13.7,18.7,0.0,0.0,0.0,0.0,11.48,0.0,0.0
325,CediOsman,55,18.0,0.595,20.5,7.9,0.0,0.0,0.0,0.0,11.46,0.0,0.0
326,KeitaBates-Diop,41,15.0,0.536,15.5,6.4,0.0,5.9,0.0,9.5,11.45,0.0,0.0
327,AndrewWiggins,47,27.1,0.524,11.2,8.3,0.0,0.0,0.0,0.0,11.43,0.0,0.0
328,DysonDaniels,52,21.9,0.518,29.2,11.2,0.0,0.0,0.0,0.0,11.43,10.7,0.4
329,PatrickBeverley,50,19.3,0.547,31.5,10.8,0.0,3.4,0.0,8.5,11.4,0.0,0.0
330,SimoneFontecchio,53,23.4,0.588,14.4,9.5,0.0,4.9,0.0,8.4,11.4,11.1,0.4
331,TorreyCraig,33,21.0,0.559,15.4,8.1,0.0,0.0,0.0,0.0,11.4,0.0,0.0
332,JohnKonchar,44,19.4,0.521,28.8,10.7,0.0,0.0,0.0,0.0,11.37,0.0,0.0
333,CasonWallace,54,20.7,0.63,18.5,6.4,0.0,0.0,0.0,0.0,11.36,9.3,0.3
334,ShaedonSharpe,32,33.1,0.524,14.4,11.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0
335,JoshRichardson,43,25.7,0.573,20.5,7.0,0.0,0.0,0.0,0.0,11.33,0.0,0.0
336,CalebMartin,38,26.6,0.541,17.0,9.0,0.0,0.0,0.0,0.0,11.32,0.0,0.0
337,JordanHawkins,48,20.2,0.559,12.0,7.1,0.0,0.0,0.0,0.0,11.3,7.3,0.2
338,JamalCain,16,14.1,0.531,4.5,5.7,0.0,0.0,0.0,0.0,11.27,1.6,0.1
339,MalikBeasley,53,29.5,0.639,12.5,6.5,0.0,0.0,0.0,0.0,11.26,0.0,0.0
340,ChristianBraun,55,19.0,0.535,16.2,7.7,0.0,0.0,0.0,0.0,11.2,6.2,0.2
341,JeremySochan,55,29.4,0.519,21.6,11.7,0.0,0.0,0.0,0.0,11.15,8.5,0.3
342,BlakeWesley,34,13.0,0.553,37.3,10.9,0.0,0.0,0.0,0.0,11.12,2.1,0.1
343,KevonHarris,2,3.0,0.667,20.0,20.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0
344,LindyWatersIII,23,7.3,0.644,17.6,5.9,0.0,0.0,0.0,0.0,11.04,0.6,0.0
345,KenrichWilliams,43,14.9,0.555,23.0,6.7,0.0,0.0,0.0,0.0,11.04,0.0,0.0
346,MaxStrus,53,32.3,0.538,22.5,8.8,0.0,0.0,0.0,0.0,11.03,0.0,0.0
347,PatrickWilliams,43,27.3,0.553,12.9,11.2,0.0,0.0,0.0,0.0,11.01,0.0,0.0
348,OmerYurtseven,30,9.1,0.507,10.3,19.1,0.0,0.0,0.0,0.0,10.99,1.6,0.1
349,IsaiahStewart,35,30.6,0.579,13.6,12.0,0.0,0.0,0.0,0.0,10.99,6.3,0.2
350,LuguentzDort,52,28.5,0.59,12.1,8.3,0.0,0.0,0.0,0.0,10.96,0.0,0.0
351,KeyonteGeorge,49,24.6,0.533,25.4,11.8,0.0,0.0,0.0,0.0,10.94,2.5,0.1
352,JoeIngles,41,17.3,0.575,38.0,11.2,0.0,0.0,0.0,0.0,10.94,0.0,0.0
353,KyleLowry,37,28.0,0.582,31.9,11.5,0.0,0.0,0.0,0.0,10.79,0.0,0.0
354,JeffGreen,52,16.9,0.608,12.0,10.8,0.0,0.0,0.0,0.0,10.65,0.0,0.0
355,JulianChampagnie,48,16.6,0.563,15.8,9.4,0.0,0.0,0.0,0.0,10.65,-1.8,-0.1
356,RoyceO'Neale,52,24.4,0.547,26.5,9.6,0.0,3.3,0.0,10.1,10.6,0.0,0.0
357,DillonBrooks,45,31.4,0.575,10.5,9.2,0.0,0.0,0.0,0.0,10.59,0.0,0.0
358,TreyJemison,8,14.8,0.551,12.8,17.9,0.0,9.9,0.0,11.6,10.52,-0.1,-0.0
359,JadenSpringer,32,11.8,0.481,18.0,13.4,0.0,0.0,0.0,0.0,10.5,0.0,0.0
360,JoshHart,54,29.9,0.515,26.7,10.6,0.0,0.0,0.0,0.0,10.48,0.0,0.0
361,JoshGreen,42,27.3,0.607,23.0,9.7,0.0,0.0,0.0,0.0,10.48,0.0,0.0
362,MarcusMorrisSr.,37,17.2,0.559,9.8,7.1,0.0,0.0,0.0,0.0,10.43,0.0,0.0
363,JockLandale,29,9.3,0.438,16.9,11.3,0.0,0.0,0.0,0.0,10.4,-0.8,-0.0
364,GregBrownIII,6,6.7,0.501,17.4,17.4,0.0,0.0,0.0,0.0,10.39,0.0,0.0
365,JordanPoole,52,29.2,0.511,17.5,10.2,0.0,0.0,0.0,0.0,10.39,0.0,0.0
366,KillianHayes,42,24.0,0.474,36.5,9.1,0.0,0.0,0.0,0.0,10.38,0.0,0.0
367,Olivier-MaxenceProsper,30,8.5,0.471,17.3,4.5,0.0,0.0,0.0,0.0,10.37,-1.7,-0.1
368,GaryTrentJr.,50,26.3,0.541,11.6,5.5,0.0,0.0,0.0,0.0,10.32,0.0,0.0
369,JerichoSims,28,11.0,0.711,16.0,14.2,0.0,0.0,0.0,0.0,10.3,0.0,0.0
370,NickeilAlexander-Walker,54,23.1,0.575,26.4,9.9,0.0,0.0,0.0,0.0,10.25,0.0,0.0
371,KentaviousCaldwell-Pope,50,31.9,0.581,19.4,8.2,0.0,0.0,0.0,0.0,10.17,0.0,0.0
372,IshWainright,7,6.6,0.53,0.0,5.0,0.0,0.0,0.0,0.0,10.16,0.0,0.0
373,MalachiFlynn,47,11.6,0.535,26.9,12.3,0.0,2.6,0.0,7.3,10.15,0.0,0.0
374,OusmaneDieng,29,11.2,0.555,20.0,10.3,0.0,0.0,0.0,0.0,10.12,0.0,0.0
375,JaredRhoden,6,7.0,0.631,21.2,15.9,0.0,0.0,0.0,0.0,10.12,-0.4,-0.0
376,DeanWade,44,21.1,0.597,13.8,7.3,0.0,0.0,0.0,0.0,10.04,0.0,0.0
377,DorianFinney-Smith,45,28.1,0.542,13.9,7.4,0.0,0.0,0.0,0.0,9.97,0.0,0.0
378,TerryTaylor,18,7.3,0.563,14.5,16.9,0.0,0.0,0.0,0.0,9.97,0.0,0.0
379,DalanoBanton,26,8.5,0.485,19.6,12.5,0.0,6.5,0.0,10.4,9.95,0.0,0.0
380,TeranceMann,47,24.9,0.554,19.4,6.8,0.0,0.0,0.0,0.0,9.94,0.0,0.0
381,LeakyBlack,22,9.9,0.554,26.4,7.3,0.0,0.0,0.0,0.0,9.93,-2.8,-0.1
382,BismackBiyombo,30,23.9,0.56,22.3,16.6,0.0,0.0,0.0,0.0,9.89,-7.6,-0.3
383,MatisseThybulle,51,23.2,0.542,18.7,8.1,0.0,0.0,0.0,0.0,9.88,0.0,0.0
384,NassirLittle,32,13.1,0.576,13.0,8.9,0.0,0.0,0.0,0.0,9.85,0.0,0.0
385,KevinKnoxII,31,18.1,0.57,9.6,9.1,0.0,0.0,0.0,0.0,9.83,0.0,0.0
386,PatrickBaldwinJr.,17,7.2,0.54,11.8,10.1,0.0,0.0,0.0,0.0,9.8,-1.8,-0.1
387,GaryHarris,33,22.5,0.568,21.2,6.6,0.0,0.0,0.0,0.0,9.77,0.0,0.0
388,KesslerEdwards,36,4.9,0.54,14.3,1.6,0.0,0.0,0.0,0.0,9.76,0.0,0.0
389,KeonEllis,33,11.5,0.585,24.9,11.1,0.0,0.0,0.0,0.0,9.71,-6.1,-0.2
390,SethCurry,39,13.2,0.522,15.0,7.5,0.0,3.4,0.0,6.0,9.69,0.0,0.0
391,ToumaniCamara,52,23.8,0.52,11.1,13.3,0.0,0.0,0.0,0.0,9.6,-22.2,-0.7
392,HaywoodHighsmith,40,21.2,0.551,15.0,8.9,0.0,0.0,0.0,0.0,9.58,-15.4,-0.5
393,PatConnaughton,49,21.3,0.606,28.7,8.8,0.0,0.0,0.0,0.0,9.58,0.0,0.0
394,Jae'SeanTate,51,17.5,0.538,18.9,7.7,0.0,0.0,0.0,0.0,9.57,0.0,0.0
395,MattRyan,14,21.6,0.664,11.6,13.2,0.0,0.0,0.0,0.0,9.54,-5.7,-0.2
396,KrisMurray,33,13.2,0.499,14.5,10.7,0.0,0.0,0.0,0.0,9.49,-8.5,-0.3
397,BrandonBostonJr.,16,7.4,0.482,6.8,6.8,0.0,0.0,0.0,0.0,9.46,0.0,0.0
398,DaishenNix,9,3.3,0.479,9.6,4.8,0.0,0.0,0.0,0.0,9.43,0.0,0.0
399,QuentinGrimes,45,20.2,0.543,13.9,5.6,0.0,0.0,0.0,0.0,9.43,0.0,0.0
400,JadenMcDaniels,44,28.7,0.587,11.4,10.8,0.0,0.0,0.0,0.0,9.42,0.0,0.0
401,MaxiKleber,19,21.6,0.586,24.0,13.0,0.0,0.0,0.0,0.0,9.36,0.0,0.0
402,GeorgesNiang,53,21.7,0.558,12.1,7.7,0.0,0.0,0.0,0.0,9.35,0.0,0.0
403,JaeCrowder,24,24.7,0.576,19.7,5.6,0.0,0.0,0.0,0.0,9.32,0.0,0.0
404,LesterQuinones,18,12.7,0.524,18.4,10.5,0.0,0.0,0.0,0.0,9.22,-5.4,-0.2
405,JalenPickett,16,6.1,0.571,25.6,12.8,0.0,0.0,0.0,0.0,9.19,-2.3,-0.1
406,FurkanKorkmaz,35,8.6,0.519,20.9,8.3,0.0,0.0,0.0,0.0,9.15,0.0,0.0
407,ShakeMilton,41,13.3,0.496,19.2,10.6,0.0,3.1,0.0,7.3,9.11,0.0,0.0
408,DereonSeabron,5,10.4,0.448,20.4,0.0,0.0,0.0,0.0,0.0,9.1,-1.3,-0.0
409,DougMcDermott,49,15.1,0.603,18.0,7.8,0.0,1.3,0.0,3.6,9.07,0.0,0.0
410,JulianStrawther,35,13.9,0.493,15.2,6.4,0.0,0.0,0.0,0.0,9.05,-12.7,-0.4
411,VasilijeMicic,33,13.0,0.523,36.8,13.7,0.0,0.5,0.0,3.9,9.04,-11.2,-0.4
412,BryceMcGowens,43,16.4,0.58,14.8,9.2,0.0,0.0,0.0,0.0,8.99,-19.0,-0.6
413,ZiaireWilliams,45,18.9,0.504,14.2,12.3,0.0,0.0,0.0,0.0,8.97,0.0,0.0
414,ScootHenderson,42,26.9,0.483,22.5,14.1,0.0,0.0,0.0,0.0,8.92,-31.7,-1.1
415,GrantWilliams,50,26.7,0.569,16.6,11.0,0.0,4.1,0.0,7.8,8.9,0.0,0.0
416,MarJonBeauchamp,40,14.2,0.583,13.3,12.4,0.0,0.0,0.0,0.0,8.9,-16.1,-0.5
417,AndreJacksonJr.,44,11.2,0.629,28.0,13.7,0.0,0.0,0.0,0.0,8.89,-14.1,-0.5
418,CodyMartin,22,26.3,0.466,25.7,12.0,0.0,0.0,0.0,0.0,8.85,0.0,0.0
419,GradeyDick,34,15.3,0.547,16.9,9.5,0.0,0.0,0.0,0.0,8.8,-15.5,-0.5
420,TaylorHendricks,16,14.6,0.49,8.1,13.2,0.0,0.0,0.0,0.0,8.78,-7.1,-0.2
421,KJMartin,40,11.2,0.569,16.5,12.4,0.0,3.7,0.0,7.9,8.76,0.0,0.0
422,OttoPorterJr.,15,11.6,0.568,18.1,4.5,0.0,0.0,0.0,0.0,8.75,0.0,0.0
423,BilalCoulibaly,53,26.9,0.55,16.1,13.8,0.0,0.0,0.0,0.0,8.74,-37.5,-1.2
424,DavidRoddy,49,22.9,0.487,13.8,10.0,0.0,4.8,0.0,9.8,8.68,-35.6,-1.2
425,IbouBadji,16,11.7,0.634,26.4,28.6,0.0,0.0,0.0,0.0,8.66,-5.4,-0.2
426,WendellMooreJr.,14,3.1,0.5,13.3,20.0,0.0,0.0,0.0,0.0,8.64,-1.4,-0.0
427,AnthonyBlack,50,18.1,0.577,23.7,13.2,0.0,0.0,0.0,0.0,8.63,-29.4,-1.0
428,ChrisLivingston,15,4.1,0.571,18.3,13.7,0.0,0.0,0.0,0.0,8.6,-2.0,-0.1
429,JustinHoliday,32,14.8,0.589,22.4,5.6,0.0,0.0,0.0,0.0,8.59,0.0,0.0
430,TaureanPrince,53,30.1,0.579,15.6,8.3,0.0,0.0,0.0,0.0,8.59,0.0,0.0
431,NickSmithJr.,37,15.5,0.534,15.0,10.7,0.0,0.0,0.0,0.0,8.52,-19.5,-0.7
432,ReggieBullockJr.,22,9.4,0.59,16.0,8.0,0.0,0.0,0.0,0.0,8.51,0.0,0.0
433,LukaSamanic,26,5.7,0.491,4.7,12.9,0.0,0.0,0.0,0.0,8.49,0.0,0.0
434,DalenTerry,35,10.0,0.502,29.5,11.7,0.0,0.0,0.0,0.0,8.44,-12.3,-0.4
435,DanuelHouseJr.,34,15.0,0.575,16.3,11.0,0.0,0.0,0.0,0.0,8.44,0.0,0.0
436,GarrettTemple,16,4.3,0.486,17.3,14.4,0.0,0.0,0.0,0.0,8.43,0.0,0.0
437,CamReddish,35,23.3,0.519,15.6,9.9,0.0,0.0,0.0,0.0,8.42,0.0,0.0
438,RayanRupert,16,7.4,0.451,17.3,9.4,0.0,0.0,0.0,0.0,8.36,-4.3,-0.1
439,CalebHoustan,40,14.9,0.58,11.9,6.9,0.0,0.0,0.0,0.0,8.25,-22.7,-0.8
440,MalakiBranham,50,20.2,0.507,19.7,9.9,0.0,0.0,0.0,0.0,8.25,-38.5,-1.3
441,TrevelinQueen,13,12.5,0.462,26.4,10.3,0.0,0.0,0.0,0.0,8.24,0.0,0.0
442,ArmoniBrooks,10,10.4,0.448,9.1,5.5,0.0,0.0,0.0,0.0,8.15,0.0,0.0
443,JavonFreeman-Liberty,2,2.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,8.13,-0.2,-0.0
444,MonteMorris,8,12.3,0.382,21.5,3.6,0.0,2.3,0.0,8.6,8.09,0.0,0.0
445,MikeMuscala,37,13.8,0.484,16.9,9.2,0.0,6.7,0.0,11.1,8.04,-19.4,-0.6
446,TosanEvbuomwan,5,16.4,0.441,25.0,4.2,0.0,10.4,0.0,10.7,8.04,-3.4,-0.1
447,ChumaOkeke,33,11.5,0.499,13.1,9.2,0.0,0.0,0.0,0.0,8.01,0.0,0.0
448,MattHurt,3,18.7,0.44,13.4,0.0,0.0,0.0,0.0,0.0,8.0,-2.3,-0.1
449,JevonCarter,52,13.7,0.482,16.6,7.9,0.0,0.0,0.0,0.0,8.0,0.0,0.0
450,BenSheppard,33,10.8,0.502,17.5,5.1,0.0,0.0,0.0,0.0,7.78,-16.1,-0.5
451,JettHoward,13,3.8,0.484,10.4,7.0,0.0,0.0,0.0,0.0,7.77,-2.2,-0.1
452,CollinGillespie,18,7.6,0.563,19.6,16.4,0.0,0.0,0.0,0.0,7.75,-6.2,-0.2
453,OchaiAgbaji,54,19.4,0.518,13.5,10.2,0.0,3.9,0.0,6.8,7.71,-48.3,-1.6
454,TyJerome,2,7.5,0.5,37.5,12.5,0.0,0.0,0.0,0.0,7.61,0.0,0.0
455,MaxChristie,43,17.2,0.539,15.6,11.3,0.0,0.0,0.0,0.0,7.6,-35.3,-1.2
456,BonesHyland,19,13.2,0.471,18.2,12.7,0.0,0.0,0.0,0.0,7.27,0.0,0.0
457,ColeSwider,10,5.0,0.523,11.8,17.7,0.0,0.0,0.0,0.0,7.09,-2.8,-0.1
458,GarrisonMathews,39,12.6,0.663,13.0,10.8,0.0,0.0,0.0,0.0,7.06,0.0,0.0
459,DavionMitchell,44,13.2,0.503,27.8,9.3,0.0,0.0,0.0,0.0,7.03,0.0,0.0
460,XavierMoon,2,6.0,0.5,50.0,16.7,0.0,0.0,0.0,0.0,6.94,0.0,0.0
461,JTThor,43,13.4,0.442,9.8,6.4,0.0,0.0,0.0,0.0,6.94,0.0,0.0
462,TrentForrest,20,10.5,0.389,40.2,10.5,0.0,0.0,0.0,0.0,6.88,0.0,0.0
463,SviMykhailiuk,23,7.9,0.466,11.8,8.3,0.0,0.0,0.0,0.0,6.77,0.0,0.0
464,IshSmith,43,17.2,0.435,41.2,13.4,0.0,0.0,0.0,0.0,6.71,0.0,0.0
465,JaylenNowell,9,17.3,0.453,20.7,6.5,0.0,0.0,0.0,0.0,6.62,0.0,0.0
466,ChrisDuarte,37,12.8,0.488,16.6,10.4,0.0,0.0,0.0,0.0,6.52,0.0,0.0
467,PattyMills,19,10.6,0.5,19.2,11.0,0.0,0.0,0.0,0.0,6.51,0.0,0.0
468,RobinLopez,16,4.1,0.453,15.5,7.7,0.0,0.0,0.0,0.0,6.49,-4.0,-0.1
469,JohnnyDavis,23,8.0,0.435,9.3,8.0,0.0,0.0,0.0,0.0,6.44,-11.9,-0.4
470,ColbyJones,17,7.1,0.384,15.8,7.9,0.0,0.0,0.0,0.0,6.38,-8.0,-0.3
471,CoryJoseph,26,11.4,0.47,34.7,9.9,0.0,0.0,0.0,0.0,6.21,0.0,0.0
472,BriceSensabaugh,6,2.7,0.383,14.9,7.4,0.0,0.0,0.0,0.0,6.15,-1.1,-0.0
473,D'MoiHodge,7,5.9,0.441,22.9,4.6,0.0,0.0,0.0,0.0,6.07,-2.9,-0.1
474,KennethLoftonJr.,17,6.4,0.413,19.6,11.2,0.0,2.0,0.0,9.2,5.99,-7.8,-0.3
475,GabeVincent,5,25.4,0.411,30.1,4.0,0.0,0.0,0.0,0.0,5.98,0.0,0.0
476,KobeBufkin,5,5.0,0.414,7.8,7.8,0.0,0.0,0.0,0.0,5.84,-1.9,-0.1
477,KiraLewisJr.,18,8.3,0.38,23.3,9.3,0.0,3.1,0.0,5.3,5.8,0.0,0.0
478,MarkieffMorris,17,9.2,0.443,15.5,12.7,0.0,0.0,0.0,0.0,5.79,0.0,0.0
