,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
55,JamesHarden,48,34.6,0.641,34.2,10.4,0.0,0.0,0.0,0.0,19.73,0.0,0.0
56,De'AaronFox,48,35.6,0.568,17.4,8.1,0.0,0.0,0.0,0.0,19.7,0.0,0.0
57,JamalMurray,40,31.5,0.575,24.5,7.7,0.0,0.0,0.0,0.0,19.67,0.0,0.0
58,IvicaZubac,43,26.5,0.669,11.3,10.1,0.0,0.0,0.0,0.0,19.6,153.0,5.1
59,AnthonyEdwards,51,35.0,0.589,17.0,10.7,0.0,0.0,0.0,0.0,19.58,0.0,0.0
60,EvanMobley,30,31.2,0.627,16.1,11.3,0.0,0.0,0.0,0.0,19.56,0.0,0.0
61,NicClaxton,44,29.4,0.629,14.8,9.1,0.0,0.0,0.0,0.0,19.54,0.0,0.0
62,Karl-AnthonyTowns,53,32.8,0.638,12.5,12.1,0.0,0.0,0.0,0.0,19.42,228.8,7.6
63,ScottieBarnes,55,35.2,0.567,22.6,10.3,0.0,0.0,0.0,0.0,19.35,0.0,0.0
64,BolBol,18,8.8,0.73,13.5,13.5,0.0,0.0,0.0,0.0,19.32,20.6,0.7
65,NeemiasQueta,23,12.3,0.636,10.1,8.3,0.0,0.0,0.0,0.0,19.3,36.7,1.2
66,JoshMinott,18,3.1,0.608,9.3,6.2,0.0,0.0,0.0,0.0,19.27,7.1,0.2
67,PascalSiakam,54,34.3,0.606,19.4,8.0,0.0,5.0,0.0,10.4,19.25,0.0,0.0
68,NateHinton,11,5.3,0.698,19.9,6.6,0.0,0.0,0.0,0.0,19.18,0.0,0.0
69,RudyGobert,53,33.5,0.667,9.2,11.6,0.0,0.0,0.0,0.0,18.92,220.5,7.3
70,MylesTurner,52,27.4,0.623,8.1,8.7,0.0,0.0,0.0,0.0,18.91,172.4,5.7
71,DesmondBane,37,34.5,0.597,18.6,9.4,0.0,0.0,0.0,0.0,18.89,0.0,0.0
72,PaulGeorge,50,33.7,0.595,14.8,8.2,0.0,0.0,0.0,0.0,18.86,0.0,0.0
73,DeMarDeRozan,53,37.7,0.574,19.8,5.7,0.0,0.0,0.0,0.0,18.78,0.0,0.0
74,LukeKornet,39,14.9,0.723,18.4,9.2,0.0,0.0,0.0,0.0,18.77,69.1,2.3
75,JuliusRandle,46,35.4,0.569,16.9,11.7,0.0,0.0,0.0,0.0,18.76,0.0,0.0
76,JaValeMcGee,39,7.9,0.634,7.8,17.2,0.0,0.0,0.0,0.0,18.65,37.3,1.2
77,WalkerKessler,47,23.4,0.657,10.1,12.2,0.0,0.0,0.0,0.0,18.64,131.8,4.4
78,JalenDuren,39,30.1,0.652,16.6,12.7,0.0,0.0,0.0,0.0,18.64,140.6,4.7
79,T.J.McConnell,45,17.3,0.561,38.4,10.8,0.0,0.0,0.0,0.0,18.61,0.0,0.0
80,ColinCastleton,7,5.1,0.765,19.0,6.3,0.0,0.0,0.0,0.0,18.54,4.3,0.1
81,JalenWilliams,48,32.1,0.629,21.3,8.2,0.0,0.0,0.0,0.0,18.51,177.1,5.9
82,MarvinBagleyIII,37,20.1,0.62,9.9,11.1,0.0,13.0,0.0,15.5,18.48,0.0,0.0
83,KevinLove,44,17.6,0.604,21.8,7.6,0.0,0.0,0.0,0.0,18.46,0.0,0.0
84,CamWhitmore,28,17.0,0.592,4.1,6.6,0.0,0.0,0.0,0.0,18.46,54.4,1.8
85,LukaGarza,13,3.0,0.545,5.8,5.8,0.0,0.0,0.0,0.0,18.36,4.5,0.2
86,JakobPoeltl,44,26.8,0.67,19.3,13.4,0.0,0.0,0.0,0.0,18.32,132.1,4.4
87,TerquavionSmith,11,6.2,0.557,18.1,7.2,0.0,0.0,0.0,0.0,18.32,7.6,0.3
88,BrandonIngram,51,33.4,0.577,21.7,9.3,0.0,0.0,0.0,0.0,18.3,0.0,0.0
89,HarryGilesIII,16,5.1,0.543,9.7,9.7,0.0,0.0,0.0,0.0,18.26,0.0,0.0
90,FranzWagner,47,33.3,0.575,16.7,8.0,0.0,0.0,0.0,0.0,18.21,0.0,0.0
91,GogaBitadze,46,18.2,0.643,21.7,10.5,0.0,0.0,0.0,0.0,18.2,94.9,3.2
92,DexterDennis,4,7.5,0.541,14.6,11.0,0.0,0.0,0.0,0.0,18.18,3.3,0.1
93,CJMcCollum,41,32.1,0.598,20.9,7.3,0.0,0.0,0.0,0.0,18.01,0.0,0.0
94,DylanWindler,8,3.5,0.682,31.3,0.0,0.0,0.0,0.0,6.2,17.81,0.0,0.0
95,JusufNurkic,52,27.2,0.576,23.1,12.9,0.0,0.0,0.0,0.0,17.78,151.8,5.1
96,PaoloBanchero,55,35.0,0.549,18.0,10.3,0.0,0.0,0.0,0.0,17.73,0.0,0.0
97,CharlesBassey,19,10.8,0.739,26.7,19.1,0.0,0.0,0.0,0.0,17.65,21.6,0.7
98,TerryRozier,40,34.1,0.552,23.6,7.1,0.0,2.1,0.0,6.7,17.58,0.0,0.0
99,JonathanIsaac,37,14.8,0.566,7.2,8.4,0.0,0.0,0.0,0.0,17.48,0.0,0.0
100,JaylenBrown,50,33.4,0.574,14.7,9.8,0.0,0.0,0.0,0.0,17.46,0.0,0.0
