RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
119,TobiasHarris,48,34.0,.598,17.1,7.4,0.0,0.0,0.0,0.0,16.95,0.0,0.0
120,TyusJones,54,29.0,.585,36.8,5.1,0.0,0.0,0.0,0.0,16.90,0.0,0.0
121,DeandreAyton,36,32.0,.581,10.5,11.2,0.0,0.0,0.0,0.0,16.89,108.2,3.6
,LonnieWalkerIV,34,18.1,.608,12.9,8.5,0.0,0.0,0.0,0.0,16.89,0.0,0.0
123,RussellWestbrook,53,23.2,.522,26.2,12.0,0.0,0.0,0.0,0.0,16.80,0.0,0.0
124,KhrisMiddleton,43,26.3,.590,25.6,10.5,0.0,0.0,0.0,0.0,16.78,0.0,0.0
125,NickRichards,45,25.9,.718,9.7,12.5,0.0,0.0,0.0,0.0,16.77,103.7,3.5
126,DejounteMurray,52,35.0,.560,19.9,8.6,0.0,0.0,0.0,0.0,16.74,0.0,0.0
127,JonathanKuminga,51,25.6,.601,11.4,9.9,0.0,0.0,0.0,0.0,16.64,0.0,0.0
,DarioSaric,50,19.3,.616,21.6,10.6,0.0,0.0,0.0,0.0,16.64,0.0,0.0
129,DanteExum,32,19.7,.663,26.7,7.9,0.0,0.0,0.0,0.0,16.63,0.0,0.0
130,OnyekaOkongwu,53,25.8,.675,13.7,8.7,0.0,0.0,0.0,0.0,16.60,0.0,0.0
131,DuopReath,39,17.4,.605,12.4,8.0,0.0,0.0,0.0,0.0,16.56,60.4,2.0
132,JordanFord,6,3.7,.761,18.4,9.2,0.0,0.0,0.0,0.0,16.54,1.9,0.1
133,DerrickWhite,51,32.3,.611,24.8,8.5,0.0,0.0,0.0,0.0,16.47,0.0,0.0
134,BenSimmons,12,25.7,.584,45.0,14.4,0.0,0.0,0.0,0.0,16.42,0.0,0.0
135,D'AngeloRussell,51,31.2,.588,27.4,8.4,0.0,0.0,0.0,0.0,16.34,0.0,0.0
136,BobanMarjanovic,9,5.3,.486,13.5,6.7,0.0,0.0,0.0,0.0,16.32,4.1,0.1
