PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff
LeBronJames,21,8,5,29,9-12,1-4,62.5%,0-1,0.0%,1,7,0,1,0,1,7,28
TaureanPrince,21,8,5,30,2-2,4-6,75.0%,2-2,100.0%,1,2,1,0,1,0,-14,20
AnthonyDavis,18,3,1,34,5-15,1-2,35.3%,4-4,100.0%,1,7,2,0,2,3,-17,18
AustinReaves,18,3,1,31,3-9,1-2,36.4%,5-7,71.4%,4,4,2,2,0,2,-14,17
D&#039;AngeloRussell,17,8,4,36,2-7,2-5,33.3%,1-2,50.0%,0,4,3,1,0,3,1,11
CameronReddish,17,8,4,18,1-2,1-2,50.0%,2-2,100.0%,2,2,0,0,1,2,7,10
ChristianWood,14,8,4,15,3-3,0-1,75.0%,1-2,50.0%,1,3,1,0,0,1,2,8
GabeVincent,14,8,4,22,3-4,0-4,37.5%,0-0,-,1,0,2,1,0,3,-17,3
RuiHachimura,11,4,7,15,3-7,0-3,30.0%,0-0,-,2,1,0,0,0,2,-8,2
JaxsonHayes,11,4,7,7,0-0,0-0,-,0-0,-,0,1,0,0,0,1,-7,1
MaxwellLewis,7,4,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0
MaxChristie,7,4,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0
LosAngelesLakers,7,4,0,240,31-61,10-29,45.6%,15-20,75.0%  ,13,31,11,5,4,18,-60,118
