PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff
NikolaJokic,29,13,11,36,9-17,3-5,54.5%,2-4,50.0%,3,10,2,1,1,2,15,41
JamalMurray,29,13,11,34,5-8,3-5,61.5%,2-2,100.0%,0,2,1,0,1,3,3,24
KentaviousCaldwell-Pope,21,2,6,36,6-9,2-3,66.7%,2-2,100.0%,1,1,3,3,1,5,10,20
AaronGordon,21,2,6,35,6-9,1-2,63.6%,0-0,-,2,5,0,2,1,0,6,26
MichaelPorter,20,2,1,30,3-4,2-9,38.5%,0-0,-,2,10,0,2,0,1,12,20
ReggieJackson,20,2,1,24,1-3,2-5,37.5%,0-0,-,0,3,2,1,0,0,11,6
ChristianBraun,15,7,5,19,2-4,0-1,40.0%,1-2,50.0%,1,2,1,0,1,1,5,6
ZekeNnaji,15,7,5,12,1-2,0-1,33.3%,2-2,100.0%,0,0,1,0,0,2,-3,2
PeytonWatson,12,12,2,11,0-0,1-3,33.3%,0-0,-,0,0,1,0,1,1,1,1
JalenPickett,12,12,2,1,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2
BraxtonKey,8,3,1,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0
CollinGillespie,8,3,1,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0
DenverNuggets,5,3,2,240,34-57,14-34,52.7%,9-12,75.0%  ,9,33,11,9,6,15,60,148
