Season,Team,League,Pts,Reb,Ast,GP,W-L,MIN,2P,3P,FG,FT,Or,Dr,Stl,To,Blk,Fo,Eff
21-22,BostonCeltics,USA-1,5,1,2,7,[3 4],15,0.0,0.3333333333333333,0.25,1.0,0,1,0,0,0,0,5
22-23,BostonCeltics,USA-1,27,17,4,14,[9 5],100,0.4,0.3181818181818182,0.3333333333333333,1.0,5,12,1,0,2,8,33
