Season,Team,League,Pts,Reb,Ast,GP,W-L,MIN,2P,3P,FG,FT,Or,Dr,Stl,To,Blk,Fo,Eff
18-19,LAClippers,USA-1,46,12,10,6,[2 4],169,0.42857142857142855,0.3225806451612903,0.34210526315789475,1.0,1,11,6,7,0,15,42
19-20,LAClippers,USA-1,68,22,17,13,[7 6],238,0.5294117647058824,0.35714285714285715,0.4067796610169492,0.7142857142857143,0,22,6,13,3,18,66
20-21,BrooklynNets,USA-1,50,21,7,12,[7 5],201,0.5714285714285714,0.37037037037037035,0.43902439024390244,0.8,3,18,5,6,1,19,54
21-22,PhoenixSuns,USA-1,52,20,15,12,[6 6],192,0.45454545454545453,0.34615384615384615,0.3958333333333333,0.7142857142857143,3,17,6,7,0,10,55
22-23,PhoenixSuns,USA-1,42,12,8,9,[6 3],162,0.38461538461538464,0.38461538461538464,0.38461538461538464,1.0,3,9,2,4,0,11,36
